show,season,unique_id,full_name,age,hometown,occupation
Bachelor,1,01_ALEXA_X,Alexa,27,"Beverly Hills, California",Special Ed. Teacher
Bachelor,1,01_AMANDA_M,Amanda Marsh,23,"Chanute, Kansas",Event Planner
Bachelor,1,01_AMBER_X,Amber,29,"Los Angeles, California",Business Development Director
Bachelor,1,01_AMY_X,Amy,28,"New York, New York",Production Coordinator
Bachelor,1,01_ANGELA_X,Angela,25,"Avondale, Arizona",Hooters Waitress
Bachelor,1,01_ANGELIQUE_X,Angelique,27,"Burbank, California",Actress
Bachelor,1,01_CATHY_G,Cathy Grimes,22,"Terra Haute, Indiana",Graduate Student
Bachelor,1,01_CHRISTINA_X,Christina,28,"Bonita, California",Attorney
Bachelor,1,01_DANIELA_X,Daniela,30,"Seattle, Washington",Neuropsychologist
Bachelor,1,01_DENISE_X,Denise,30,"Honolulu, Hawaii",Doctor
Bachelor,1,01_JACKIE_X,Jackie,22,"Pittsburgh, Pennsylvania",Bar Manager
Bachelor,1,01_JILL_X,Jill,31,"Chicago, Illinois",Retail Manager
Bachelor,1,01_KATIE_X,Katie,23,"Malden, Massachusetts",Power Tool Sales Rep.
Bachelor,1,01_KIM_X,Kim,24,"Tempe, Arizona",Nanny
Bachelor,1,01_KRISTINA_X,Kristina,27,"Los Angeles, California",Advertising Executive
Bachelor,1,01_LANEASE_A,LaNease Adams,23,"Los Angeles, California",Actress
Bachelor,1,01_LISA_X,Lisa,29,"Dallas, Texas",Attorney
Bachelor,1,01_MELISSA_X,Melissa,25,"Tempe, Arizona",Photographer
Bachelor,1,01_PAULA_X,Paula,24,"Swansea, Massachusetts",Insurance Representative
Bachelor,1,01_RACHEL_X,Rachel,29,"Eastchester, New York",6th Grade Teacher
Bachelor,1,01_RHONDA_X,Rhonda,28,"Woodward, Oklahoma",Commercial Real Estate Agent
Bachelor,1,01_SHANNON_O,Shannon Oliver,24,"Dallas, Texas",Financial Management Consultant
Bachelor,1,01_TINA_X,Tina,27,"Plano, Texas",Graduate Student
