show,season,unique_id,full_name,episode,action
Bachelor,1,01_ALEXA_X,Alexa,2,E
Bachelor,1,01_ALEXA_X,Alexa,2,D5
Bachelor,1,01_AMANDA_M,Amanda Marsh,6,W
Bachelor,1,01_AMANDA_M,Amanda Marsh,2,D5
Bachelor,1,01_AMANDA_M,Amanda Marsh,3,D1
Bachelor,1,01_AMANDA_M,Amanda Marsh,4,D1
Bachelor,1,01_AMANDA_M,Amanda Marsh,5,D1
Bachelor,1,01_AMANDA_M,Amanda Marsh,6,D1
Bachelor,1,01_AMBER_X,Amber,1,E
Bachelor,1,01_AMY_X,Amy,2,E
Bachelor,1,01_AMY_X,Amy,2,D5
Bachelor,1,01_ANGELA_X,Angela,2,E
Bachelor,1,01_ANGELA_X,Angela,2,D5
Bachelor,1,01_ANGELIQUE_X,Angelique,2,E
Bachelor,1,01_ANGELIQUE_X,Angelique,2,D5
Bachelor,1,01_CATHY_G,Cathy Grimes,3,E
Bachelor,1,01_CATHY_G,Cathy Grimes,2,D5
Bachelor,1,01_CATHY_G,Cathy Grimes,3,D4
Bachelor,1,01_CHRISTINA_X,Christina,3,E
Bachelor,1,01_CHRISTINA_X,Christina,2,D5
Bachelor,1,01_CHRISTINA_X,Christina,3,D4
Bachelor,1,01_DANIELA_X,Daniela,1,E
Bachelor,1,01_DENISE_X,Denise,1,E
Bachelor,1,01_JACKIE_X,Jackie,1,E
Bachelor,1,01_JILL_X,Jill,1,E
Bachelor,1,01_KATIE_X,Katie,2,E
Bachelor,1,01_KATIE_X,Katie,2,D5
Bachelor,1,01_KIM_X,Kim,4,E
Bachelor,1,01_KIM_X,Kim,2,D5
Bachelor,1,01_KIM_X,Kim,3,D4
Bachelor,1,01_KIM_X,Kim,4,D1
Bachelor,1,01_KRISTINA_X,Kristina,1,E
Bachelor,1,01_LANEASE_A,LaNease Adams,3,E
Bachelor,1,01_LANEASE_A,LaNease Adams,2,D5
Bachelor,1,01_LANEASE_A,LaNease Adams,3,D4
Bachelor,1,01_LISA_X,Lisa,1,E
Bachelor,1,01_MELISSA_X,Melissa,2,E
Bachelor,1,01_MELISSA_X,Melissa,2,D5
Bachelor,1,01_PAULA_X,Paula,1,E
