SHOW,SEASON,538_NAME,FULL_NAME,ELIMINATION-1,ELIMINATION-2,ELIMINATION-3,ELIMINATION-4,ELIMINATION-5,ELIMINATION-6,ELIMINATION-7,ELIMINATION-8,ELIMINATION-9,ELIMINATION-10,DATES-1,DATES-2,DATES-3,DATES-4,DATES-5,DATES-6,DATES-7,DATES-8,DATES-9,DATES-10
Bachelor,1,01_ALEXA_X,Alexa,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,1,01_AMANDA_M,Amanda Marsh,,,,,,W,,,,,,D5,D1,D1,D1,D1,,,,
Bachelor,1,01_AMBER_X,Amber,E,,,,,,,,,,,,,,,,,,,
Bachelor,1,01_AMY_X,Amy,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,1,01_ANGELA_X,Angela,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,1,01_ANGELIQUE_X,Angelique,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,1,01_CATHY_G,Cathy Grimes,,,E,,,,,,,,,D5,D4,,,,,,,
Bachelor,1,01_CHRISTINA_X,Christina,,,E,,,,,,,,,D5,D4,,,,,,,
Bachelor,1,01_DANIELA_X,Daniela,E,,,,,,,,,,,,,,,,,,,
Bachelor,1,01_DENISE_X,Denise,E,,,,,,,,,,,,,,,,,,,
Bachelor,1,01_JACKIE_X,Jackie,E,,,,,,,,,,,,,,,,,,,
Bachelor,1,01_JILL_X,Jill,E,,,,,,,,,,,,,,,,,,,
Bachelor,1,01_KATIE_X,Katie,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,1,01_KIM_X,Kim,,,,E,,,,,,,,D5,D4,D1,,,,,,
Bachelor,1,01_KRISTINA_X,Kristina,E,,,,,,,,,,,,,,,,,,,
Bachelor,1,01_LANEASE_A,LaNease Adams,,,E,,,,,,,,,D5,D4,,,,,,,
Bachelor,1,01_LISA_X,Lisa,E,,,,,,,,,,,,,,,,,,,
Bachelor,1,01_MELISSA_X,Melissa,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,1,01_PAULA_X,Paula,E,,,,,,,,,,,,,,,,,,,
Bachelor,1,01_RACHEL_X,Rachel,E,,,,,,,,,,,,,,,,,,,
Bachelor,1,01_RHONDA_X,Rhonda,,,E,,,,,,,,,D5,D4,,,,,,,
Bachelor,1,01_SHANNON_O,Shannon Oliver,,,,,E,,,,,,,D5,D1,D1,D1,,,,,
Bachelor,1,01_TINA_X,Tina,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,1,01_TRISTA_R,Trista Rehn,,,,,,E,,,,,,D5,D1,D1,D1,D1,,,,
Bachelor,1,01_WENDI_X,Wendi,E,,,,,,,,,,,,,,,,,,,
Bachelorette,1,01_BILLY_X,Billy,E,,,,,,,,,,,,,,,,,,,
Bachelorette,1,01_BOB_G,Bob Guiney,,,E,,,,,,,,,D14,D5,,,,,,,
Bachelorette,1,01_BRIAN_C,Brian C.,,E,,,,,,,,,,D14,,,,,,,,
Bachelorette,1,01_BRIAN_H,Brian H.,,EQ,,,,,,,,,,D14,,,,,,,,
Bachelorette,1,01_BRIAN_K,Brian K.,E,,,,,,,,,,,,,,,,,,,
Bachelorette,1,01_BRIAN_S,Brian S.,,E,,,,,,,,,,D14,,,,,,,,
Bachelorette,1,01_BROOK_X,Brook,,E,,,,,,,,,,D14,,,,,,,,
Bachelorette,1,01_CHARLIE_M,Charlie Maher,,,,,,E,,,,,,D14,D1,D1,D1,D1,,,,
Bachelorette,1,01_CHRIS_X,Chris,E,,,,,,,,,,,,,,,,,,,
Bachelorette,1,01_DUANE_X,Duane,E,,,,,,,,,,,,,,,,,,,
Bachelorette,1,01_ERIC_X,Eric,E,,,,,,,,,,,,,,,,,,,
Bachelorette,1,01_GREG_T,Greg T.,,,,E,,,,,,,,D14,D5,D1,,,,,,
Bachelorette,1,01_GREGG_H,Gregg H.,E,,,,,,,,,,,,,,,,,,,
Bachelorette,1,01_JACK_X,Jack,,E,,,,,,,,,,D14,,,,,,,,
Bachelorette,1,01_JAMIE_B,Jamie Blyth,,,E,,,,,,,,,D14,D5,,,,,,,
Bachelorette,1,01_JEFF_X,Jeff,,E,,,,,,,,,,D14,,,,,,,,
Bachelorette,1,01_JOSH_X,Josh,,E,,,,,,,,,,D14,,,,,,,,
Bachelorette,1,01_MATT_X,Matt,E,,,,,,,,,,,,,,,,,,,
Bachelorette,1,01_MIKE_X,Mike,,,E,,,,,,,,,D14,D5,,,,,,,
Bachelorette,1,01_PAUL_X,Paul,E,,,,,,,,,,,,,,,,,,,
Bachelorette,1,01_PETER_X,Peter,E,,,,,,,,,,,,,,,,,,,
Bachelorette,1,01_ROB_X,Rob,,,E,,,,,,,,,D14,D5,,,,,,,
