city,lat,long
"Honolulu, Hawaii",21.3278,-157.8294
"Key Largo, Florida",25.0865,-80.4473
"Coral Gables, Florida",25.7215,-80.2684
"Miami, Florida",25.7791,-80.1978
"Pembroke Pines, Florida",26.0185,-80.3449
"Fort Lauderdale, Florida",26.1216,-80.1288
"Plantation, Florida",26.1342,-80.2318
"Naples, Florida",26.1423,-81.796
"Harlingen, Texas",26.1951,-97.689
"Bonita Springs, Florida",26.3398,-81.7787
"Boca Raton, Florida",26.376,-80.1072
"Delray Beach, Florida",26.4564,-80.0793
"Wellington, Florida",26.6587,-80.2414
"West Palm Beach, Florida",26.7165,-80.0679
"Ruskin, Florida",27.7015,-82.4355
"Tampa, Florida",27.9961,-82.582
"Palm Harbor, Florida",28.0781,-82.7637
"Odessa, Florida",28.1421,-82.5905
"New Port Richey, Florida",28.2326,-82.7327
"Kissimmee, Florida",28.3051,-81.4242
"Orlando, Florida",28.3067,-80.6862
"Clermont, Florida",28.5525,-81.7574
"Winter Park, Florida",28.5978,-81.3534
"Apopka, Florida",28.6354,-81.4888
"Geneva, Florida",28.7503,-81.1114
"Mount Dora, Florida",28.8111,-81.6536
"Pearsall, Texas",28.8923,-99.0944
"Lady Lake, Florida",28.9175,-81.9229
"New Smyrna Beach, Florida",29.0247,-80.9584
"Ormond Beach, Florida",29.2858,-81.0559
"Galveston, Texas",29.2983,-94.793
"Friendswood, Texas",29.5224,-95.1879
"Sugar Land, Texas",29.6196,-95.607
"Gainesville, Florida",29.6489,-82.325
"New Braunfels, Texas",29.7229,-98.0742
"Houston, Texas",29.8131,-95.3098
"Katy, Texas",29.8323,-95.736
"New Orleans, Louisiana",29.9614,-90.1577
"Spring, Texas",30.0532,-95.3773
"Lake Charles, Louisiana",30.2285,-93.188
"Jacksonville Beach, Florida",30.2947,-81.3931
"Austin, Texas",30.3264,-97.7713
"Jacksonville, Florida",30.3375,-81.7686
"Biloxi, Mississippi",30.4035,-88.8971
"Pensacola, Florida",30.4223,-87.2248
"Tallahassee, Florida",30.4383,-84.2807
"Niceville, Florida",30.5169,-86.4822
"Georgetown, Texas",30.633,-97.6707
"Burnet, Texas",30.7766,-98.2642
"Huntsville, Texas",30.847,-95.597
"Odessa, Texas",31.7652,-102.3543
"Midland, Texas",31.9896,-102.0626
"Hilton Head Island, South Carolina",32.2132,-80.7997
"Madison, Mississippi",32.4671,-90.1087
"Shreveport, Louisiana",32.5037,-93.7487
"Arlington, Texas",32.6289,-97.1517
"Chula Vista, California",32.6401,-117.0842
"Duncanville, Texas",32.6587,-96.9114
"Folly Beach, South Carolina",32.663,-79.927
"Bonita, California",32.6671,-117.0221
"San Diego, California",32.7185,-117.1593
"Balch Springs, Texas",32.7287,-96.6228
"Lemon Grove, California",32.7332,-117.0326
"Irving, Texas",32.7673,-96.7776
"Fort Worth, Texas",32.7714,-97.2915
"Ravenel, South Carolina",32.7881,-80.2223
"Dallas, Texas",32.7904,-96.8044
"Macon, Georgia",32.8095,-83.6168
"Hurst, Texas",32.8211,-97.1756
"La Jolla, California",32.8455,-117.2521
"Rockwall, Texas",32.886,-96.4095
"Casa Grande, Arizona",32.8905,-111.754
"Southlake, Texas",32.9485,-97.1524
"Charleston, South Carolina",32.9668,-79.8528
"Roanoke, Texas",33.0211,-97.2127
"Encinitas, California",33.036,-117.292
"Plano, Texas",33.055,-96.7365
"San Marcos, California",33.1444,-117.1697
"Carlsbad, California",33.1602,-117.325
